dataset,policy,kind,budget,mean_sweeps,std_sweeps,mean_bp_cosine,std_bp_cosine,mean_residual_norm,std_residual_norm,mean_work_efficiency,early_exit_fraction
fashion_mnist,fixed_sync_b16,fixed_sync,16,16.0,0.0,0.6994675000508627,0.03555592004788312,0.596862276395162,0.0661036972238813,0.04371671875317892,0.0
fashion_mnist,fixed_sync_b32,fixed_sync,32,32.0,0.0,0.7423507571220398,0.025792182344463097,0.6734583576520284,0.07295758731058881,0.023198461160063744,0.0
fashion_mnist,fixed_gs_b4,fixed_gs,4,4.0,0.0,0.6799631516138712,0.04071625269120549,0.6060413519541422,0.06150419857734092,0.1699907879034678,0.0
fashion_mnist,fixed_gs_b8,fixed_gs,8,8.0,0.0,0.7105308373769125,0.032868473674346525,0.7198285659154257,0.07596316879581018,0.08881635467211406,0.0
fashion_mnist,fixed_gs_b16,fixed_gs,16,16.0,0.0,0.7720189094543457,0.02224488914741427,0.8874668876330057,0.09105580247948498,0.048251181840896606,0.0
fashion_mnist,fixed_gs_b32,fixed_gs,32,32.0,0.0,0.9439671834309896,0.004381970706981556,1.0297874013582866,0.13035341120442082,0.029498974482218426,0.0
fashion_mnist,dual_exit_eps1e-3,dual_exit,32,32.0,0.0,0.9439671834309896,0.004381970706981556,1.0297874013582866,0.13035341120442082,0.029498974482218426,0.0
fashion_mnist,dual_exit_eps3e-4,dual_exit,32,32.0,0.0,0.9439671834309896,0.004381970706981556,1.0297874013582866,0.13035341120442082,0.029498974482218426,0.0
fashion_mnist,dual_exit_eps1e-4,dual_exit,32,32.0,0.0,0.9439671834309896,0.004381970706981556,1.0297874013582866,0.13035341120442082,0.029498974482218426,0.0
fashion_mnist,dual_exit_eps3e-5,dual_exit,32,32.0,0.0,0.9439671834309896,0.004381970706981556,1.0297874013582866,0.13035341120442082,0.029498974482218426,0.0
fashion_mnist,dual_exit_eps1e-5,dual_exit,32,32.0,0.0,0.9439671834309896,0.004381970706981556,1.0297874013582866,0.13035341120442082,0.029498974482218426,0.0
fashion_mnist,gradient_wave_th1e-5,gradient,32,17.0,0.0,0.9355482459068298,0.006099624678983603,1.0912347435951233,0.1422115451933876,0.05503224975922529,0.0
fashion_mnist,gradient_wave_th3e-5,gradient,32,3.5483870967741935,0.8703701653698092,0.7599668502807617,0.010905755309712236,0.8604820768038431,0.1650037325847056,0.22593106913678138,0.6666666666666666
fashion_mnist,gradient_wave_th1e-4,gradient,32,0.40860215053763443,0.030413194889743977,0.6735845406850179,0.03939929200249997,0.5444516142209371,0.07292761184263821,1.66405032149383,1.0
fashion_mnist,prob_mild,probabilistic,32,12.53763440860215,0.38198536921143256,0.7169977029164633,0.028348214435438335,0.747735063234965,0.1081029484719719,0.057280366037910334,0.0
fashion_mnist,prob_sharp,probabilistic,32,10.666666666666666,0.19768576678333533,0.7083351810773214,0.03214526011321345,0.7279243270556132,0.07295561070000472,0.06641757282799471,0.0
synthetic,fixed_sync_b16,fixed_sync,16,16.0,0.0,0.7791544795036316,0.01583777860915471,0.5515035688877106,0.04042630365437307,0.048697154968976974,0.0
synthetic,fixed_sync_b32,fixed_sync,32,32.0,0.0,0.8116495013237,0.012181322357294124,0.6207355658213297,0.048398197735753365,0.025364046916365623,0.0
synthetic,fixed_gs_b4,fixed_gs,4,4.0,0.0,0.7641814947128296,0.018147688141825703,0.5609142978986105,0.04254396040601366,0.1910453736782074,0.0
synthetic,fixed_gs_b8,fixed_gs,8,8.0,0.0,0.7873327533404032,0.014770056667241179,0.665854295094808,0.0487843615945158,0.0984165941675504,0.0
synthetic,fixed_gs_b16,fixed_gs,16,16.0,0.0,0.8324265082677206,0.011187887346153984,0.8118869463602701,0.061669276849248736,0.052026656766732536,0.0
synthetic,fixed_gs_b32,fixed_gs,32,32.0,0.0,0.9519424835840861,0.00311974108387914,0.9398567279179891,0.0823053693417615,0.02974820261200269,0.0
synthetic,dual_exit_eps1e-3,dual_exit,32,32.0,0.0,0.9519424835840861,0.00311974108387914,0.9398567279179891,0.0823053693417615,0.02974820261200269,0.0
synthetic,dual_exit_eps3e-4,dual_exit,32,32.0,0.0,0.9519424835840861,0.00311974108387914,0.9398567279179891,0.0823053693417615,0.02974820261200269,0.0
synthetic,dual_exit_eps1e-4,dual_exit,32,32.0,0.0,0.9519424835840861,0.00311974108387914,0.9398567279179891,0.0823053693417615,0.02974820261200269,0.0
synthetic,dual_exit_eps3e-5,dual_exit,32,32.0,0.0,0.9519424835840861,0.00311974108387914,0.9398567279179891,0.0823053693417615,0.02974820261200269,0.0
synthetic,dual_exit_eps1e-5,dual_exit,32,32.0,0.0,0.9519424835840861,0.00311974108387914,0.9398567279179891,0.0823053693417615,0.02974820261200269,0.0
synthetic,gradient_wave_th1e-5,gradient,32,17.0,0.0,0.9530564943949381,0.008808038149230134,0.98930823802948,0.08912765165112517,0.056062146729114005,0.0
synthetic,gradient_wave_th3e-5,gradient,32,2.7849462365591395,0.5687755335672341,0.8102536797523499,0.0072437662264223344,0.7331286470095316,0.10838495877030138,0.3032804370657929,1.0
synthetic,gradient_wave_th1e-4,gradient,32,0.3010752688172043,0.060826389779487955,0.7558084925015768,0.016581197476868086,0.4842583437760671,0.05116928459802132,2.6132532871431775,1.0
synthetic,prob_mild,probabilistic,32,12.505376344086022,0.36999248460398365,0.791002889474233,0.012191754601476836,0.690442164738973,0.06715042125313378,0.06332210203165944,0.0
synthetic,prob_sharp,probabilistic,32,10.666666666666666,0.19768576678333533,0.7858513394991556,0.013324808496269802,0.6700581908226013,0.0586093193852274,0.07369407245423419,0.0
