depth,mode,n,ok,cosine_mean,cosine_sd,cosine_min,cosine_max,early_layer_cosine_mean,early_layer_cosine_sd,early_layer_cosine_min,early_layer_cosine_max,paired_cosine_delta_mean,paired_cosine_delta_sd,paired_cosine_delta_min,paired_cosine_delta_max,paired_early_cosine_delta_mean,paired_early_cosine_delta_sd,paired_early_cosine_delta_min,paired_early_cosine_delta_max,early_gradient_norm_ratio_min_mean,early_gradient_norm_ratio_min_sd,early_gradient_norm_ratio_min_min,early_gradient_norm_ratio_min_max,early_gradient_norm_ratio_mean_mean,early_gradient_norm_ratio_mean_sd,early_gradient_norm_ratio_mean_min,early_gradient_norm_ratio_mean_max,bp_early_gradient_norm_min_mean,bp_early_gradient_norm_min_sd,bp_early_gradient_norm_min_min,bp_early_gradient_norm_min_max,residual_mean,residual_sd,residual_min,residual_max,max_state_mean,max_state_sd,max_state_min,max_state_max,state_distance_mean,state_distance_sd,state_distance_min,state_distance_max,dual_distance_mean,dual_distance_sd,dual_distance_min,dual_distance_max,R_final_0.25_mean,R_final_0.25_sd,R_final_0.25_min,R_final_0.25_max,R_any_final_0.25_mean,R_any_final_0.25_sd,R_any_final_0.25_min,R_any_final_0.25_max,max_gap_0.25_mean,max_gap_0.25_sd,max_gap_0.25_min,max_gap_0.25_max,t0.25_threshold0.1_reached,t0.25_threshold0.1_median_reached_only,t0.5_threshold0.1_reached,t0.5_threshold0.1_median_reached_only,t0.75_threshold0.1_reached,t0.75_threshold0.1_median_reached_only,t0.9_threshold0.1_reached,t0.9_threshold0.1_median_reached_only,t0.25_threshold0.25_reached,t0.25_threshold0.25_median_reached_only,t0.5_threshold0.25_reached,t0.5_threshold0.25_median_reached_only,t0.75_threshold0.25_reached,t0.75_threshold0.25_median_reached_only,t0.9_threshold0.25_reached,t0.9_threshold0.25_median_reached_only,t0.25_threshold0.5_reached,t0.25_threshold0.5_median_reached_only,t0.5_threshold0.5_reached,t0.5_threshold0.5_median_reached_only,t0.75_threshold0.5_reached,t0.75_threshold0.5_median_reached_only,t0.9_threshold0.5_reached,t0.9_threshold0.5_median_reached_only,t0.25_threshold0.75_reached,t0.25_threshold0.75_median_reached_only,t0.5_threshold0.75_reached,t0.5_threshold0.75_median_reached_only,t0.75_threshold0.75_reached,t0.75_threshold0.75_median_reached_only,t0.9_threshold0.75_reached,t0.9_threshold0.75_median_reached_only
32,bounded_staleness_tau31,5,5,0.8802913904190064,0.042382333130936735,0.8143962621688843,0.9150586128234863,0.8985122606158257,0.005347405452759234,0.892762191593647,0.9055540934205055,-0.06745506525039673,0.03601579860455732,-0.11375027894973755,-0.03696519136428833,-0.0007499366998672486,0.0026006228307772212,-0.0035445839166641235,0.002322964370250702,0.2357193484821261,0.13207712680875897,0.0454316863944319,0.33182459667166136,0.3854139590217597,0.12342071640792812,0.20919793743962659,0.4861908198684739,0.00801479145884514,0.003020598399276177,0.004616490565240383,0.012552461586892605,0.15840154886245728,0.029632349730833875,0.12372852861881256,0.1873888522386551,5.813704776763916,1.2168671258545594,4.208440780639648,7.080807209014893,0.4360238671302795,0.1050472206834464,0.3056061863899231,0.5656308531761169,0.9372407588919408,0.33066622869587864,0.5925446088083246,1.3831620328566132,26.2,2.16794833886788,23.0,28.0,26.2,2.16794833886788,23.0,28.0,0.6,1.3416407864998738,0.0,3.0,5,16.0,5,32.0,5,50.0,5,58.0,5,18.0,5,38.0,4,57.0,2,64.0,5,30.0,4,60.0,0,,0,,0,,0,,0,,0,
32,fully_async_local_tau0_h0,5,5,0.9688107132911682,0.007937700772198538,0.959121823310852,0.9769091010093689,0.9431377604603768,0.00861524824391837,0.9295654818415642,0.9517076164484024,0.021064257621765135,0.007583700799939275,0.014499962329864502,0.03350454568862915,0.04387556314468384,0.012464335607857063,0.02336966246366501,0.05540084093809128,0.8029951404369535,0.1335120029567877,0.6009051125369794,0.9621847837245378,0.9084895364658001,0.16261726042780011,0.6657475554287605,1.1141519803146047,0.00801479145884514,0.003020598399276177,0.004616490565240383,0.012552461586892605,0.15803446173667907,0.016925897946829166,0.1368880271911621,0.18253980576992035,5.813626861572265,1.2167716570955418,4.208440780639648,7.080807209014893,0.5238971889019013,0.09304767688868289,0.37590089440345764,0.6139459013938904,1.0210501166469657,0.20303632762715482,0.7308321994661147,1.2229832815147927,31.0,0.0,31.0,31.0,31.0,0.0,31.0,31.0,2.0,1.224744871391589,0.0,3.0,5,12.0,5,28.0,5,38.0,5,46.0,5,14.0,5,32.0,5,44.0,5,52.0,5,22.0,4,45.0,1,60.0,1,60.0,0,,0,,0,,0,
32,fully_async_local_tau31_h0,5,5,0.9689089179039001,0.013188511040992125,0.9513422846794128,0.9804368019104004,0.9490076541900635,0.010011475805029814,0.9386088773608208,0.9610434770584106,0.02116246223449707,0.004910405018580761,0.01415860652923584,0.02744138240814209,0.049745456874370576,0.013007918438897724,0.0324130579829216,0.06037265062332153,0.7066421073700168,0.14470356337853324,0.49463422263504,0.8393668957225915,0.8379956540514101,0.16569831674053045,0.5711900203556453,1.0096581415471058,0.00801479145884514,0.003020598399276177,0.004616490565240383,0.012552461586892605,0.18133028447628022,0.02946601751648322,0.13932310044765472,0.20727507770061493,5.813597106933594,1.2168001078920025,4.208440780639648,7.080807209014893,0.7657560110092163,0.06909371877384647,0.6901480555534363,0.8626471757888794,0.9541018171499681,0.22302767494381423,0.6968669272391417,1.1650850016369187,31.0,0.0,31.0,31.0,31.0,0.0,31.0,31.0,1.4,1.9493588689617927,0.0,4.0,5,14.0,5,28.0,5,42.0,5,46.0,5,14.0,5,30.0,5,44.0,5,52.0,5,24.0,5,48.0,0,,0,,0,,0,,0,,0,
32,random_coordinate,5,5,0.9358609080314636,0.026715768707999393,0.8969716429710388,0.958450973033905,0.899944081902504,0.003002006078709494,0.8960053026676178,0.9044323414564133,-0.011885547637939453,0.029670068976635218,-0.06397300958633423,0.0054555535316467285,0.0006818845868110657,0.004563586919675234,-0.006782002747058868,0.0038604438304901123,0.5255373580596064,0.22763645051905165,0.16029118966467967,0.7488496254493338,0.6187655540969257,0.16862669001174488,0.37153528413040293,0.7910726272763065,0.00801479145884514,0.003020598399276177,0.004616490565240383,0.012552461586892605,0.1654928594827652,0.029419283756660464,0.1319250911474228,0.1970154494047165,5.813743782043457,1.216711327254204,4.208440780639648,7.080807209014893,0.2027559071779251,0.07538357004293339,0.13699957728385925,0.3292232155799866,0.5387554238587066,0.2747242991560708,0.28288511917912823,0.9629191562205451,30.4,1.3416407864998738,28.0,31.0,30.4,1.3416407864998738,28.0,31.0,0.8,1.0954451150103324,0.0,2.0,5,14.0,5,32.0,5,46.0,5,52.0,5,18.0,5,34.0,5,50.0,5,58.0,5,24.0,4,55.0,1,64.0,0,,0,,0,,0,,0,
32,random_permutation,5,5,0.9557932496070862,0.005396874350267566,0.9490255117416382,0.9617927074432373,0.9044309988617897,0.006152089522920289,0.8940626829862595,0.9095401912927628,0.008046793937683105,0.009527802648322821,-0.002920866012573242,0.023129761219024658,0.005168801546096802,0.003577735365882066,0.0008490830659866333,0.008401378989219666,0.802617355863213,0.08251333253641444,0.6648805379219807,0.8546092861260915,0.9082460291158935,0.09433788167849277,0.7537260985967823,1.0031108077584916,0.00801479145884514,0.003020598399276177,0.004616490565240383,0.012552461586892605,0.12899964600801467,0.017860072782462544,0.10900662839412689,0.15287137031555176,5.813778686523437,1.216626531373286,4.208440780639648,7.080807209014893,0.3479384779930115,0.06059057034165973,0.286202996969223,0.43433213233947754,0.8881805120705843,0.12086656562470927,0.7387326416328296,1.0624232109936835,31.0,0.0,31.0,31.0,31.0,0.0,31.0,31.0,0.0,0.0,0.0,0.0,5,12.0,5,26.0,5,40.0,5,48.0,5,16.0,5,32.0,5,46.0,5,54.0,5,22.0,5,56.0,2,64.0,2,64.0,0,,0,,0,,0,
32,sync,5,5,0.9477464556694031,0.012389102823899913,0.9281465411186218,0.960944652557373,0.8992621973156929,0.005231892304041152,0.8923335373401642,0.9061958193778992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.621488135711383,0.0660871057046215,0.5191080682518493,0.6985052533089319,0.6459962710363507,0.06804667747482486,0.5338993312314045,0.7081309760145391,0.00801479145884514,0.003020598399276177,0.004616490565240383,0.012552461586892605,0.13062054216861724,0.01848837330249282,0.10905016213655472,0.1553676873445511,5.813709735870361,1.2166924300044364,4.208440780639648,7.080807209014893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,31.0,31.0,31.0,0.0,31.0,31.0,0.0,0.0,0.0,0.0,5,14.0,5,30.0,5,46.0,5,54.0,5,16.0,5,34.0,5,52.0,5,60.0,5,24.0,4,58.0,0,,0,,0,,0,,0,,0,
