depth,mode,n,ok,cosine_mean,cosine_sd,cosine_min,cosine_max,early_layer_cosine_mean,early_layer_cosine_sd,early_layer_cosine_min,early_layer_cosine_max,paired_cosine_delta_mean,paired_cosine_delta_sd,paired_cosine_delta_min,paired_cosine_delta_max,paired_early_cosine_delta_mean,paired_early_cosine_delta_sd,paired_early_cosine_delta_min,paired_early_cosine_delta_max,early_gradient_norm_ratio_min_mean,early_gradient_norm_ratio_min_sd,early_gradient_norm_ratio_min_min,early_gradient_norm_ratio_min_max,early_gradient_norm_ratio_mean_mean,early_gradient_norm_ratio_mean_sd,early_gradient_norm_ratio_mean_min,early_gradient_norm_ratio_mean_max,bp_early_gradient_norm_min_mean,bp_early_gradient_norm_min_sd,bp_early_gradient_norm_min_min,bp_early_gradient_norm_min_max,residual_mean,residual_sd,residual_min,residual_max,max_state_mean,max_state_sd,max_state_min,max_state_max,state_distance_mean,state_distance_sd,state_distance_min,state_distance_max,dual_distance_mean,dual_distance_sd,dual_distance_min,dual_distance_max,R_final_0.25_mean,R_final_0.25_sd,R_final_0.25_min,R_final_0.25_max,R_any_final_0.25_mean,R_any_final_0.25_sd,R_any_final_0.25_min,R_any_final_0.25_max,max_gap_0.25_mean,max_gap_0.25_sd,max_gap_0.25_min,max_gap_0.25_max,t0.25_threshold0.1_reached,t0.25_threshold0.1_median_reached_only,t0.5_threshold0.1_reached,t0.5_threshold0.1_median_reached_only,t0.75_threshold0.1_reached,t0.75_threshold0.1_median_reached_only,t0.9_threshold0.1_reached,t0.9_threshold0.1_median_reached_only,t0.25_threshold0.25_reached,t0.25_threshold0.25_median_reached_only,t0.5_threshold0.25_reached,t0.5_threshold0.25_median_reached_only,t0.75_threshold0.25_reached,t0.75_threshold0.25_median_reached_only,t0.9_threshold0.25_reached,t0.9_threshold0.25_median_reached_only,t0.25_threshold0.5_reached,t0.25_threshold0.5_median_reached_only,t0.5_threshold0.5_reached,t0.5_threshold0.5_median_reached_only,t0.75_threshold0.5_reached,t0.75_threshold0.5_median_reached_only,t0.9_threshold0.5_reached,t0.9_threshold0.5_median_reached_only,t0.25_threshold0.75_reached,t0.25_threshold0.75_median_reached_only,t0.5_threshold0.75_reached,t0.5_threshold0.75_median_reached_only,t0.75_threshold0.75_reached,t0.75_threshold0.75_median_reached_only,t0.9_threshold0.75_reached,t0.9_threshold0.75_median_reached_only
32,bounded_staleness_tau31,5,5,0.8884411334991456,0.043874410303813796,0.8122126460075378,0.9184039831161499,0.8967042654752732,0.006598396919007245,0.8889437764883041,0.90704545378685,-0.06318345069885253,0.043725343048108364,-0.13825607299804688,-0.03545880317687988,0.0010825425386428833,0.004995070630059998,-0.00637441873550415,0.00748230516910553,0.21767128333025026,0.10752748868933255,0.04351042517215322,0.30190358972721876,0.37872893296758814,0.0938762565507952,0.2177250002536666,0.46233659744142486,0.007483849860727787,0.0021126023383256686,0.0051725925877690315,0.01024694088846445,0.16687224805355072,0.0371505987247783,0.13599592447280884,0.22735050320625305,4.599413585662842,0.2996316683717386,4.112557411193848,4.904881000518799,0.45434885621070864,0.1019345852146679,0.36910292506217957,0.6235008239746094,0.9772291191888725,0.33691826595607155,0.6986724199951202,1.5112526361999659,26.4,2.073644135332772,23.0,28.0,26.4,2.073644135332772,23.0,28.0,0.0,0.0,0.0,0.0,5,16.0,5,32.0,5,50.0,5,58.0,5,20.0,5,38.0,4,56.0,2,64.0,5,32.0,3,56.0,0,,0,,0,,0,,0,,0,
32,bounded_staleness_tau62,5,5,0.8509485125541687,0.03478557095432679,0.7906654477119446,0.8775627017021179,0.9003319561481475,0.0039345481637439485,0.8966205194592476,0.9046655967831612,-0.10067607164382934,0.03457618047763589,-0.15980327129364014,-0.07630008459091187,0.004710233211517334,0.003897224948990157,0.0002036839723587036,0.009419955313205719,0.07451356819622901,0.04993433090568565,0.009546424277147775,0.13118905436340592,0.2586394360560599,0.08056695905580166,0.1278348881809742,0.34555584332746314,0.007483849860727787,0.0021126023383256686,0.0051725925877690315,0.01024694088846445,0.18399155139923096,0.04019337520895217,0.13081008195877075,0.2395402044057846,4.599077415466309,0.2996456207853748,4.1125617027282715,4.904881000518799,0.6564728617668152,0.10629171139825655,0.5673591494560242,0.8248827457427979,1.3657124955866125,0.29505086958293386,1.0469496281378066,1.7964563498179407,24.6,1.8165902124584952,22.0,27.0,24.6,1.8165902124584952,22.0,27.0,1.0,1.4142135623730951,0.0,3.0,5,16.0,5,34.0,5,52.0,4,62.0,5,20.0,5,40.0,4,60.0,0,,5,26.0,2,60.0,0,,0,,0,,0,,0,,0,
32,fully_async_local_tau0_h0,5,5,0.9696225762367249,0.0013398009691162796,0.967846691608429,0.9714759588241577,0.937661525607109,0.007919032268172938,0.9245042651891708,0.9437881633639336,0.017997992038726807,0.003753357881426565,0.012138664722442627,0.022414684295654297,0.04203980267047882,0.010251751988549367,0.027179330587387085,0.0525139644742012,0.7961295362912925,0.050242061946330796,0.7435253530334597,0.8647983572810298,0.9002228954666492,0.07398154119300665,0.837157717872647,1.027653653833972,0.007483849860727787,0.0021126023383256686,0.0051725925877690315,0.01024694088846445,0.16634697318077088,0.016816695812989956,0.14502038061618805,0.1815643310546875,4.599006652832031,0.29966339388276747,4.112557411193848,4.904881000518799,0.5605247735977172,0.14362628701482408,0.3655952513217926,0.7417548298835754,1.085022770568564,0.2747196117950522,0.7948168971860722,1.4102506863110407,31.0,0.0,31.0,31.0,31.0,0.0,31.0,31.0,2.0,1.224744871391589,0.0,3.0,5,12.0,5,28.0,5,40.0,5,46.0,5,14.0,5,32.0,5,44.0,5,52.0,5,24.0,4,43.0,1,58.0,1,58.0,0,,0,,0,,0,
32,fully_async_local_tau31_h0,5,5,0.9723827004432678,0.003957400932959236,0.9677445292472839,0.977597713470459,0.9445989534258843,0.010198054710960178,0.9305311664938927,0.9529246389865875,0.020758116245269777,0.005798269964970729,0.012036502361297607,0.02607351541519165,0.048977230489253995,0.012895968971225798,0.03320623189210892,0.06487090140581131,0.6969549926185113,0.075162275771101,0.5981218113696901,0.7677824619510165,0.8290248119636578,0.08328737512849335,0.7159679398452008,0.9497981289473095,0.007483849860727787,0.0021126023383256686,0.0051725925877690315,0.01024694088846445,0.19192790389060974,0.028055603158424005,0.14958491921424866,0.2280585914850235,4.598926067352295,0.3001139737618643,4.112557411193848,4.906652927398682,0.808126699924469,0.1608477132331079,0.6596262454986572,1.0490097999572754,1.0170413049157114,0.3143742669015951,0.6433039608786553,1.4425210503342567,31.0,0.0,31.0,31.0,31.0,0.0,31.0,31.0,1.8,1.7888543819998317,0.0,4.0,5,14.0,5,28.0,5,42.0,5,46.0,5,14.0,5,30.0,5,44.0,5,52.0,5,24.0,5,48.0,0,,0,,0,,0,,0,,0,
32,fully_async_local_tau8_h0,5,5,0.9706654667854309,0.0015046443987169723,0.9685647487640381,0.9722189903259277,0.9395015254616738,0.008177444285361506,0.9264502823352814,0.9456643313169479,0.01904088258743286,0.003387415865598303,0.013981461524963379,0.022005558013916016,0.04387980252504349,0.010499820847081905,0.02912534773349762,0.055671967566013336,0.7752485572133934,0.04460182747166399,0.7269813077291313,0.8403022579626185,0.8848643780323432,0.07334029390673837,0.8125483866256789,1.0077039390289553,0.007483849860727787,0.0021126023383256686,0.0051725925877690315,0.01024694088846445,0.16561464965343475,0.019790742056039052,0.1340521275997162,0.1834617555141449,4.599001789093018,0.29965479114198795,4.112557411193848,4.904881000518799,0.610357403755188,0.1390437168183558,0.4428325295448303,0.8122907280921936,1.054446345522948,0.3178458037473385,0.7291695326155584,1.4397759970537585,31.0,0.0,31.0,31.0,31.0,0.0,31.0,31.0,1.4,1.3416407864998738,0.0,3.0,5,14.0,5,28.0,5,40.0,5,46.0,5,14.0,5,32.0,5,44.0,5,52.0,5,22.0,4,42.0,1,54.0,1,54.0,0,,0,,0,,0,
32,heterogeneous_rates_h1.5,5,5,0.4719435013830662,0.3338763842447483,0.06165609136223793,0.7629477381706238,-0.01592933346400969,0.04676134201729471,-0.09140079017379321,0.026485124602913857,-0.4796810828149319,0.33445466659417294,-0.8922066949307919,-0.18857645988464355,-0.9115510564006399,0.04257702851614642,-0.9794545277545694,-0.8688330706208944,4.2799995008214635e-06,6.215857872464044e-06,0.0,1.362912732638708e-05,7.400006779908108e-05,4.1244602322762494e-05,2.2728896279973033e-05,0.0001342403075905013,0.007483849860727787,0.0021126023383256686,0.0051725925877690315,0.01024694088846445,5.102809661626816,6.508088440312518,0.1167772114276886,13.793819427490234,5.944738864898682,3.113935451231603,4.115318298339844,11.491924285888672,6.780326914787293,6.607369680513107,1.711772084236145,14.923591613769531,30.29406399259248,41.46416594687497,3.5321965544577907,100.28911986620163,9.2,7.62889244910426,3.0,18.0,9.2,7.62889244910426,3.0,18.0,2.6,3.714835124201342,0.0,8.0,2,27.0,2,51.0,0,,0,,2,29.0,2,52.0,0,,0,,2,32.0,0,,0,,0,,2,35.0,0,,0,,0,
32,random_coordinate,5,5,0.935559606552124,0.041808942102042335,0.8609564900398254,0.9582599997520447,0.8959256246685982,0.006600564475443204,0.8912517055869102,0.907185010612011,-0.016064977645874022,0.041206508521016455,-0.08951222896575928,0.004397213459014893,0.000303901731967926,0.0037014325363662246,-0.004066489636898041,0.0032238736748695374,0.5093193116316975,0.2091340770712883,0.1546061367330062,0.6483943218811037,0.6104537403298107,0.13476683754107321,0.3787544803720602,0.7124397562638767,0.007483849860727787,0.0021126023383256686,0.0051725925877690315,0.01024694088846445,0.17455191910266876,0.02576415781980002,0.14240141212940216,0.20405948162078857,4.599945068359375,0.2996138846985186,4.112557411193848,4.904881000518799,0.21629077196121216,0.08906506542348819,0.14955663681030273,0.37106001377105713,0.5693251685755822,0.29886315762483173,0.3284443245402684,1.0570018312005551,30.4,1.3416407864998738,28.0,31.0,30.4,1.3416407864998738,28.0,31.0,0.8,1.0954451150103324,0.0,2.0,5,14.0,5,32.0,5,46.0,5,52.0,5,18.0,5,34.0,5,50.0,5,58.0,5,26.0,3,52.0,1,64.0,0,,0,,0,,0,,0,
32,random_permutation,5,5,0.9561312198638916,0.0058820232119922424,0.9467926025390625,0.9629888534545898,0.899318078160286,0.00445895560381015,0.8931520953774452,0.9052073359489441,0.004506635665893555,0.005463448256778686,-0.003676116466522217,0.009216666221618652,0.003696355223655701,0.0018147594279415507,0.0007454231381416321,0.005098357796669006,0.8061669713696406,0.05916421939229799,0.7586980367948613,0.8735227041162885,0.9046856350218935,0.08281689223439602,0.8332924538060474,1.009390952112291,0.007483849860727787,0.0021126023383256686,0.0051725925877690315,0.01024694088846445,0.13691248148679733,0.012397669717328762,0.11748040467500687,0.14820478856563568,4.6002401351928714,0.2994783018965677,4.112930774688721,4.904881000518799,0.3510823667049408,0.04137152929974209,0.2892321050167084,0.3892851173877716,0.9370894846212952,0.09694820159387285,0.7905771254158448,1.0286975168319967,31.0,0.0,31.0,31.0,31.0,0.0,31.0,31.0,0.0,0.0,0.0,0.0,5,12.0,5,26.0,5,40.0,5,48.0,5,16.0,5,32.0,5,46.0,5,54.0,5,22.0,5,48.0,3,62.0,3,62.0,0,,0,,0,,0,
32,sync,5,5,0.951624584197998,0.003488852436932499,0.9465591907501221,0.9557080268859863,0.8956217229366302,0.006032317266320522,0.8880537375807762,0.9044619128108025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.609643362247572,0.062227770372848185,0.5570265089515607,0.6902030708013005,0.6422013973987194,0.0559569731146373,0.5982838255456351,0.708198675340408,0.007483849860727787,0.0021126023383256686,0.0051725925877690315,0.01024694088846445,0.13804229497909545,0.013209511860859984,0.11730222404003143,0.14998719096183777,4.59976053237915,0.2995062460578322,4.112892150878906,4.904881000518799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,31.0,31.0,31.0,0.0,31.0,31.0,0.0,0.0,0.0,0.0,5,14.0,5,30.0,5,46.0,5,54.0,5,16.0,5,34.0,5,52.0,5,60.0,5,24.0,4,52.0,0,,0,,0,,0,,0,,0,
