method,test_acc_mean,test_acc_std,train_acc_mean,bp_cos_mean,residual_mean,dual_norm_mean,time_per_run_s
bp,0.7115885416666666,0.009445714927439394,0.7254231770833334,1.0,0.0,0.0,0.42343501133291284
sync_pcalm,0.4186197916666667,0.013110045941147308,0.4261067708333333,0.632583220799764,0.16335609555244446,2.1989874045054116,1.9080101566651138
sync_gs_pcalm,0.7093098958333334,0.010855033854513715,0.72119140625,0.8251074155171713,0.11327781279881795,2.802189906438192,2.237758703001115
sync_gs_forward_pcalm,0.4202473958333333,0.013397861736495232,0.42724609375,0.6354846159617106,0.20191294451554617,2.3904916445414224,2.5858696890015076
async_local_pcalm,0.4228515625,0.011163039192371254,0.42919921875,0.6475820541381836,0.2040740301211675,2.6820425192515054,34.645950818662335
