method,budget_sweeps,test_acc_mean,test_acc_std,train_acc_mean,own_bp_cos_mean,residual_mean,dual_norm_mean,wall_clock_mean,total_layer_update_work,critical_path_steps
bp,0,0.5345052083333334,0.05483456169074366,0.5390625,1.0,0.0,0.0,0.1628719390015855,0,0
sync_pcalm,8,0.20572916666666666,0.03644670573510001,0.21077473958333334,0.7408417065938314,0.21007367968559265,1.548625906308492,0.5012843256651346,248,8
sync_gs_pcalm,8,0.439453125,0.04024891019810868,0.4524739583333333,0.777331550916036,0.13981222112973532,1.9992620547612507,0.7430389280004116,248,248
sync_gs_forward_pcalm,8,0.20638020833333334,0.03552803033761003,0.21044921875,0.7422157128651937,0.25204166769981384,1.689552863438924,0.8592792516671276,248,248
async_local_pcalm,8,0.20572916666666666,0.03679393528891873,0.21012369791666666,0.7430847485860189,0.27951129774252575,1.719488541285197,6.759821309334559,248,248
sync_pcalm,16,0.232421875,0.028749221570077626,0.24235026041666666,0.7400414745012919,0.17060931523640951,2.2991719245910645,0.6779529813332678,496,16
sync_gs_pcalm,16,0.5384114583333334,0.04097944005691723,0.5460611979166666,0.8411381045977274,0.1205372412999471,3.044727643330892,0.8616554266676152,496,496
sync_gs_forward_pcalm,16,0.234375,0.029231698334171417,0.2431640625,0.7427002787590027,0.21047000090281168,2.4942588806152344,0.9797392723315473,496,496
async_local_pcalm,16,0.23763020833333334,0.03194751079787838,0.24332682291666666,0.7502059936523438,0.23678288360436758,2.7880282402038574,12.832672414995614,496,496
sync_pcalm,32,0.3079427083333333,0.042262584289368445,0.3089192708333333,0.7452117204666138,0.1346097687880198,3.212859869003296,1.1665856036682574,992,32
sync_gs_pcalm,32,0.52734375,0.03409121734788033,0.5380859375,0.9622708360354105,0.17487211028734842,4.476648648579915,1.217710516997613,992,992
sync_gs_forward_pcalm,32,0.3111979166666667,0.04010120727717316,0.3134765625,0.7512850165367126,0.16979858775933585,3.4569381872812905,1.5417441186655196,992,992
async_local_pcalm,32,0.4108072916666667,0.0336154443839208,0.4225260416666667,0.8074224988619486,0.20437326033910116,3.4260504245758057,25.659270227331337,992,992
sync_pcalm,48,0.5299479166666666,0.03502337931331449,0.5431315104166666,0.8481071591377258,0.11064526438713074,3.5597710609436035,1.5515866606656346,1488,48
sync_gs_pcalm,48,0.5240885416666666,0.037816499300670846,0.5323893229166666,0.9556403756141663,0.14844886461893717,5.53020715713501,1.5536363006661607,1488,1488
sync_gs_forward_pcalm,48,0.5325520833333334,0.03821786489958118,0.5447591145833334,0.8683563669522604,0.14109613498051962,3.8272012869517007,2.041012519332677,1488,1488
async_local_pcalm,48,0.5071614583333334,0.03440063753547632,0.51904296875,0.9094664454460144,0.1699997584025065,3.969216823577881,38.507400519001145,1488,1488
sync_pcalm,64,0.5247395833333334,0.03552803033761003,0.5402018229166666,0.9613495071729025,0.1373914728562037,4.228371779123942,2.088777139331796,1984,64
sync_gs_pcalm,64,0.5338541666666666,0.04101045767714485,0.5397135416666666,0.9618306756019592,0.13913305600484213,6.442733605702718,1.7963702043368055,1984,1984
sync_gs_forward_pcalm,64,0.52734375,0.03375385780420761,0.5374348958333334,0.9590718547503153,0.1406759669383367,4.868636767069499,2.349927759663842,1984,1984
async_local_pcalm,64,0.52734375,0.03453590419238241,0.5348307291666666,0.9798941612243652,0.151906818151474,4.6500851313273115,51.02572953799972,1984,1984
sync_pcalm,96,0.5325520833333334,0.035670905030736264,0.53759765625,0.9588833848635355,0.10193420946598053,6.554505825042725,2.872873650667316,2976,96
sync_gs_pcalm,96,0.5364583333333334,0.0465027901781994,0.5472005208333334,0.956998328367869,0.12919639547665915,8.219719250996908,2.371383515332127,2976,2976
sync_gs_forward_pcalm,96,0.529296875,0.042192322255259505,0.5403645833333334,0.963003675142924,0.11074619243542354,7.434424718221028,3.1860372253334694,2976,2976
async_local_pcalm,96,0.529296875,0.043410372599400136,0.537109375,0.9817107717196146,0.13242732981840769,5.997628688812256,72.38801446933455,2976,2976
sync_pcalm,128,0.5319010416666666,0.043390840372269875,0.5452473958333334,0.9645986557006836,0.0820257638891538,8.297696113586426,3.73758245066468,3968,128
sync_gs_pcalm,128,0.5305989583333334,0.05003288035635638,0.53173828125,0.939113199710846,0.09924394140640895,8.362181663513184,2.97392004999953,3968,3968
sync_gs_forward_pcalm,128,0.53515625,0.057299064389812825,0.5437825520833334,0.9569408297538757,0.09231547514597575,8.438194274902344,4.022644326001076,3968,3968
async_local_pcalm,128,0.53515625,0.05115547208479998,0.5450846354166666,0.9806116422017416,0.09199713915586472,7.309054533640544,95.89011192866747,3968,3968
