gamma,description,test_acc_mean,test_acc_std,train_acc_mean,dual_norm_mean
1.0,Standard Reset,0.6533203125,0.007689460814464659,0.6639811197916666,1.9267532030741374
0.1,Persistent (leak=0.1),0.3756510416666667,0.013374113661571704,0.3811848958333333,2.2462546030680337
0.01,Persistent (leak=0.01),0.3541666666666667,0.017566064535458385,0.3548177083333333,2.4565069675445557
0.0,Persistent (leak=0),0.3541666666666667,0.015093780103345871,0.3564453125,2.5079490343729653
